Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1530381632,2018-06-30T18:00:32Z,JAI384,"19.651142,73.155312",11550,275,182
1530381648,2018-06-30T18:00:48Z,JAI384,"19.63471,73.154564",11250,274,182
1530381659,2018-06-30T18:00:59Z,JAI384,"19.618698,73.153938",10950,274,181
1530381671,2018-06-30T18:01:11Z,JAI384,"19.602821,73.153412",10650,274,181
1530381684,2018-06-30T18:01:24Z,JAI384,"19.58725,73.152908",10325,275,181
1530381696,2018-06-30T18:01:36Z,JAI384,"19.571632,73.152313",10075,274,182
1530381705,2018-06-30T18:01:45Z,JAI384,"19.558914,73.151733",9950,269,182
1530381718,2018-06-30T18:01:58Z,JAI384,"19.543579,73.150894",9800,267,182
1530381737,2018-06-30T18:02:17Z,JAI384,"19.520796,73.149872",9575,264,182
1530381754,2018-06-30T18:02:34Z,JAI384,"19.498497,73.14917",9375,267,181
1530381768,2018-06-30T18:02:48Z,JAI384,"19.483461,73.148972",9225,264,180
1530381780,2018-06-30T18:03:00Z,JAI384,"19.467867,73.148773",9075,261,180
1530381794,2018-06-30T18:03:14Z,JAI384,"19.452438,73.148544",8975,256,180
1530381803,2018-06-30T18:03:23Z,JAI384,"19.43985,73.1483",8975,252,181
1530381842,2018-06-30T18:04:02Z,JAI384,"19.395035,73.148987",9000,252,166
1530381856,2018-06-30T18:04:16Z,JAI384,"19.379604,73.158257",9000,259,137
1530381862,2018-06-30T18:04:22Z,JAI384,"19.375181,73.163506",9000,261,130
1530381870,2018-06-30T18:04:30Z,JAI384,"19.370573,73.171692",9000,264,118
1530381876,2018-06-30T18:04:36Z,JAI384,"19.368198,73.178932",9000,265,108
1530381908,2018-06-30T18:05:08Z,JAI384,"19.376816,73.217796",8975,269,56
1530381983,2018-06-30T18:06:23Z,JAI384,"19.446918,73.197662",9000,249,281
1530382011,2018-06-30T18:06:51Z,JAI384,"19.439238,73.165901",8975,244,235
1530382017,2018-06-30T18:06:57Z,JAI384,"19.434906,73.160851",8975,243,225
1530382026,2018-06-30T18:07:06Z,JAI384,"19.426163,73.154228",9000,243,209
1530382032,2018-06-30T18:07:12Z,JAI384,"19.419685,73.151314",9000,243,200
1530382038,2018-06-30T18:07:18Z,JAI384,"19.413307,73.149719",9000,245,190
1530382044,2018-06-30T18:07:24Z,JAI384,"19.406744,73.149117",8975,246,182
1530382056,2018-06-30T18:07:36Z,JAI384,"19.39287,73.148872",8975,248,181
1530382063,2018-06-30T18:07:43Z,JAI384,"19.385605,73.148689",8975,248,181
1530382074,2018-06-30T18:07:54Z,JAI384,"19.372015,73.14827",8975,247,181
1530382086,2018-06-30T18:08:06Z,JAI384,"19.357956,73.147705",9000,249,182
1530382099,2018-06-30T18:08:19Z,JAI384,"19.344131,73.147118",9000,251,182
1530382111,2018-06-30T18:08:31Z,JAI384,"19.329987,73.146629",9000,249,181
1530382122,2018-06-30T18:08:42Z,JAI384,"19.315842,73.146088",9000,250,182
1530382135,2018-06-30T18:08:55Z,JAI384,"19.302094,73.145576",9000,252,181
1530382147,2018-06-30T18:09:07Z,JAI384,"19.287735,73.145111",8975,251,181
1530382159,2018-06-30T18:09:19Z,JAI384,"19.273884,73.144623",9000,250,181
1530382170,2018-06-30T18:09:30Z,JAI384,"19.26029,73.144226",9000,250,181
1530382197,2018-06-30T18:09:57Z,JAI384,"19.229799,73.151421",9000,255,147
1530382203,2018-06-30T18:10:03Z,JAI384,"19.224213,73.156364",9000,256,135
1530382212,2018-06-30T18:10:12Z,JAI384,"19.218567,73.16394",9000,257,123
1530382241,2018-06-30T18:10:41Z,JAI384,"19.212845,73.199402",8975,265,88
1530382255,2018-06-30T18:10:55Z,JAI384,"19.213165,73.218628",9000,263,89
1530382267,2018-06-30T18:11:07Z,JAI384,"19.213303,73.234077",9000,264,89
1530382279,2018-06-30T18:11:19Z,JAI384,"19.213348,73.249771",9000,265,89
1530382291,2018-06-30T18:11:31Z,JAI384,"19.213411,73.265427",8875,265,89
1530382324,2018-06-30T18:12:04Z,JAI384,"19.213692,73.308121",8525,262,89
1530382337,2018-06-30T18:12:17Z,JAI384,"19.213831,73.323601",8375,262,89
1530382348,2018-06-30T18:12:28Z,JAI384,"19.213989,73.338745",8250,262,89
1530382366,2018-06-30T18:12:46Z,JAI384,"19.214264,73.361748",8050,261,89
1530382378,2018-06-30T18:12:58Z,JAI384,"19.214529,73.37719",7975,260,88
1530382391,2018-06-30T18:13:11Z,JAI384,"19.214809,73.392815",7975,257,88
1530382418,2018-06-30T18:13:38Z,JAI384,"19.206299,73.424232",7975,255,128
1530382427,2018-06-30T18:13:47Z,JAI384,"19.198288,73.431587",7850,251,144
1530382439,2018-06-30T18:13:59Z,JAI384,"19.184921,73.436737",7650,248,170
1530382448,2018-06-30T18:14:08Z,JAI384,"19.174541,73.437408",7500,247,179
1530382468,2018-06-30T18:14:28Z,JAI384,"19.154011,73.428169",7200,237,221
1530382477,2018-06-30T18:14:37Z,JAI384,"19.146889,73.420334",7075,237,227
1530382485,2018-06-30T18:14:45Z,JAI384,"19.141302,73.413788",7000,237,228
1530382737,2018-06-30T18:18:57Z,JAI384,"19.09259,73.167961",4950,198,269
1530382748,2018-06-30T18:19:08Z,JAI384,"19.092545,73.159035",4800,198,269
1530382755,2018-06-30T18:19:15Z,JAI384,"19.092422,73.150322",4675,199,269
1530382761,2018-06-30T18:19:21Z,JAI384,"19.092377,73.144478",4575,199,269
1530382770,2018-06-30T18:19:30Z,JAI384,"19.092237,73.13559",4450,200,269
1530382776,2018-06-30T18:19:36Z,JAI384,"19.092144,73.129745",4350,200,269
1530382783,2018-06-30T18:19:43Z,JAI384,"19.092087,73.123825",4250,199,269
1530382789,2018-06-30T18:19:49Z,JAI384,"19.091995,73.11779",4175,198,269
1530382795,2018-06-30T18:19:55Z,JAI384,"19.091911,73.111816",4075,198,269
1530382801,2018-06-30T18:20:01Z,JAI384,"19.091864,73.105721",3975,197,269
1530382809,2018-06-30T18:20:09Z,JAI384,"19.09177,73.100281",3900,196,269
1530382823,2018-06-30T18:20:23Z,JAI384,"19.091583,73.085716",3675,196,269
1530382831,2018-06-30T18:20:31Z,JAI384,"19.091492,73.079308",3575,196,269
1530382849,2018-06-30T18:20:49Z,JAI384,"19.0914,73.062469",3425,187,268
1530382911,2018-06-30T18:21:51Z,JAI384,"19.090654,73.007645",2550,165,268
1530382925,2018-06-30T18:22:05Z,JAI384,"19.090439,72.995766",2350,164,268
1530382934,2018-06-30T18:22:14Z,JAI384,"19.090374,72.990715",2250,164,268
1530382955,2018-06-30T18:22:35Z,JAI384,"19.090141,72.972443",1925,160,269
1530382976,2018-06-30T18:22:56Z,JAI384,"19.089909,72.957306",1675,157,268
1530382984,2018-06-30T18:23:04Z,JAI384,"19.089844,72.950348",1525,155,269
1530382996,2018-06-30T18:23:16Z,JAI384,"19.089582,72.941231",1375,155,269
1530383002,2018-06-30T18:23:22Z,JAI384,"19.089523,72.9375",1300,160,268
1530383030,2018-06-30T18:23:50Z,JAI384,"19.089443,72.914513",875,168,268
1530383039,2018-06-30T18:23:59Z,JAI384,"19.089304,72.906769",750,169,268
1530463480,2018-07-01T16:44:40Z,JAI384,"28.541245,77.024933",2775,221,210
1530463486,2018-07-01T16:44:46Z,JAI384,"28.535339,77.022766",2925,230,195
1530463493,2018-07-01T16:44:53Z,JAI384,"28.528561,77.021805",3025,238,185
1530463501,2018-07-01T16:45:01Z,JAI384,"28.518448,77.021027",3175,248,184
1530463507,2018-07-01T16:45:07Z,JAI384,"28.51129,77.020195",3275,255,185
1530463516,2018-07-01T16:45:16Z,JAI384,"28.500536,77.018524",3500,260,187
1530463525,2018-07-01T16:45:25Z,JAI384,"28.490202,77.016418",3800,264,190
1530463536,2018-07-01T16:45:36Z,JAI384,"28.476288,77.01326",4225,266,191
1530463545,2018-07-01T16:45:45Z,JAI384,"28.468002,77.011253",4475,268,192
1530463551,2018-07-01T16:45:51Z,JAI384,"28.46027,77.009315",4700,271,192
1530463561,2018-07-01T16:46:01Z,JAI384,"28.445572,77.005554",5150,273,192
1530463576,2018-07-01T16:46:16Z,JAI384,"28.426575,77.000587",5725,277,193
1530463588,2018-07-01T16:46:28Z,JAI384,"28.411423,76.996727",6150,280,192
1530463601,2018-07-01T16:46:41Z,JAI384,"28.396774,76.993088",6600,283,192
1530463612,2018-07-01T16:46:52Z,JAI384,"28.380619,76.989174",6850,294,192
1530463624,2018-07-01T16:47:04Z,JAI384,"28.363813,76.98513",7275,298,191
1530463633,2018-07-01T16:47:13Z,JAI384,"28.351501,76.982254",7650,297,191
1530463645,2018-07-01T16:47:25Z,JAI384,"28.33548,76.978508",7950,300,191
1530463667,2018-07-01T16:47:47Z,JAI384,"28.307392,76.967842",8025,320,206
1530463675,2018-07-01T16:47:55Z,JAI384,"28.295746,76.959389",8025,327,215
1530463681,2018-07-01T16:48:01Z,JAI384,"28.28746,76.952042",8000,334,218
1530463696,2018-07-01T16:48:16Z,JAI384,"28.27272,76.938896",8125,338,218
1530463706,2018-07-01T16:48:26Z,JAI384,"28.258139,76.925896",8375,344,218
1530463721,2018-07-01T16:48:41Z,JAI384,"28.238867,76.908768",8825,348,218
1530463733,2018-07-01T16:48:53Z,JAI384,"28.223505,76.895088",9000,352,218
1530463748,2018-07-01T16:49:08Z,JAI384,"28.203735,76.877518",9025,363,218
1530463760,2018-07-01T16:49:20Z,JAI384,"28.187073,76.862778",9025,369,218
1530463772,2018-07-01T16:49:32Z,JAI384,"28.170855,76.848396",9375,373,218
1530463783,2018-07-01T16:49:43Z,JAI384,"28.155945,76.835159",10025,366,218
1530463801,2018-07-01T16:50:01Z,JAI384,"28.134636,76.816299",10700,363,218
1530463812,2018-07-01T16:50:12Z,JAI384,"28.118855,76.802406",11025,366,218
1530463823,2018-07-01T16:50:23Z,JAI384,"28.10219,76.787651",11450,369,217
1530463838,2018-07-01T16:50:38Z,JAI384,"28.081696,76.769661",11950,371,217
1530463850,2018-07-01T16:50:50Z,JAI384,"28.06546,76.755386",12350,374,217
1530463885,2018-07-01T16:51:25Z,JAI384,"28.020996,76.716263",13425,378,217
1530463923,2018-07-01T16:52:03Z,JAI384,"27.965424,76.667404",14800,384,218
1530463960,2018-07-01T16:52:40Z,JAI384,"27.913834,76.62207",15750,398,218
1530463995,2018-07-01T16:53:15Z,JAI384,"27.860582,76.57534",16750,406,217
1530464028,2018-07-01T16:53:48Z,JAI384,"27.811111,76.531898",17825,409,218
1530464064,2018-07-01T16:54:24Z,JAI384,"27.753885,76.48745",19025,411,213
1530464127,2018-07-01T16:55:27Z,JAI384,"27.652222,76.410896",20500,427,213
1530464187,2018-07-01T16:56:27Z,JAI384,"27.552408,76.335754",21950,436,213
1530464250,2018-07-01T16:57:30Z,JAI384,"27.443243,76.259064",23200,449,211
1530464313,2018-07-01T16:58:33Z,JAI384,"27.33403,76.184227",24475,456,211
1530464373,2018-07-01T16:59:33Z,JAI384,"27.218815,76.105515",25700,464,211
1530464434,2018-07-01T17:00:34Z,JAI384,"27.106297,76.028877",26625,477,211
1530464498,2018-07-01T17:01:38Z,JAI384,"26.985168,75.94648",27575,486,211
1530464571,2018-07-01T17:02:51Z,JAI384,"26.843184,75.850616",29225,483,209
1530464635,2018-07-01T17:03:55Z,JAI384,"26.71242,75.790291",30575,477,200
1530464700,2018-07-01T17:05:00Z,JAI384,"26.578768,75.73362",31800,477,200
1530464763,2018-07-01T17:06:03Z,JAI384,"26.449493,75.678955",33075,471,200
1530464823,2018-07-01T17:07:03Z,JAI384,"26.32457,75.626305",33950,473,200
1530464852,2018-07-01T17:07:32Z,JAI384,"26.269335,75.603104",34325,473,200
1530464891,2018-07-01T17:08:11Z,JAI384,"26.186798,75.568451",34900,473,200
1530464980,2018-07-01T17:09:40Z,JAI384,"26.006378,75.492554",36050,472,200
1530465021,2018-07-01T17:10:21Z,JAI384,"25.920425,75.456635",36650,469,200
1530465109,2018-07-01T17:11:49Z,JAI384,"25.743027,75.383202",37825,461,200
1530465132,2018-07-01T17:12:12Z,JAI384,"25.695904,75.363876",38000,461,200
1530465201,2018-07-01T17:13:21Z,JAI384,"25.555223,75.306046",38000,472,200
1530465239,2018-07-01T17:13:59Z,JAI384,"25.476746,75.273895",38000,475,200
1530465331,2018-07-01T17:15:31Z,JAI384,"25.290854,75.197838",37975,475,200
1530465396,2018-07-01T17:16:36Z,JAI384,"25.153427,75.141808",38000,475,200
1530465465,2018-07-01T17:17:45Z,JAI384,"25.011246,75.083923",37975,473,200
1530465531,2018-07-01T17:18:51Z,JAI384,"24.875565,75.028893",37975,470,200
1530465594,2018-07-01T17:19:54Z,JAI384,"24.746332,74.976456",37975,466,200
1530465655,2018-07-01T17:20:55Z,JAI384,"24.623667,74.926964",38000,471,200
1530465719,2018-07-01T17:21:59Z,JAI384,"24.492645,74.874268",38000,470,200
1530465782,2018-07-01T17:23:02Z,JAI384,"24.363419,74.822487",38000,466,200
1530465842,2018-07-01T17:24:02Z,JAI384,"24.241566,74.773468",37975,463,200
1530465905,2018-07-01T17:25:05Z,JAI384,"24.112942,74.721855",38000,467,200
1530465969,2018-07-01T17:26:09Z,JAI384,"23.984831,74.670914",38000,471,200
1530466032,2018-07-01T17:27:12Z,JAI384,"23.855484,74.618889",37975,468,200
1530466048,2018-07-01T17:27:28Z,JAI384,"23.823107,74.605927",37975,467,200
1530466150,2018-07-01T17:29:10Z,JAI384,"23.615904,74.523323",37975,464,200
1530466170,2018-07-01T17:29:30Z,JAI384,"23.573273,74.506432",38000,464,200
1530466261,2018-07-01T17:31:01Z,JAI384,"23.389618,74.433075",38000,468,200
1530466325,2018-07-01T17:32:05Z,JAI384,"23.260162,74.381683",38000,468,200
1530466396,2018-07-01T17:33:16Z,JAI384,"23.115421,74.32444",38000,469,200
1530466463,2018-07-01T17:34:23Z,JAI384,"22.977579,74.270119",38000,469,200
1530466525,2018-07-01T17:35:25Z,JAI384,"22.852774,74.220581",38000,466,200
1530466585,2018-07-01T17:36:25Z,JAI384,"22.729111,74.17215",37975,464,200
1530466655,2018-07-01T17:37:35Z,JAI384,"22.588989,74.117416",38000,462,199
1530466720,2018-07-01T17:38:40Z,JAI384,"22.459173,74.066216",38000,463,200
1530466781,2018-07-01T17:39:41Z,JAI384,"22.337036,74.018036",38000,463,199
1530466844,2018-07-01T17:40:44Z,JAI384,"22.208258,73.968048",38000,463,199
1530466850,2018-07-01T17:40:50Z,JAI384,"22.19838,73.964203",38000,463,199
1530466941,2018-07-01T17:42:21Z,JAI384,"22.01232,73.892212",38000,465,199
1530467004,2018-07-01T17:43:24Z,JAI384,"21.883881,73.842163",37975,465,199
1530467068,2018-07-01T17:44:28Z,JAI384,"21.754898,73.792267",38000,466,200
1530467131,2018-07-01T17:45:31Z,JAI384,"21.625191,73.741859",37975,467,199
1530467202,2018-07-01T17:46:42Z,JAI384,"21.483444,73.687004",38000,469,199
1530467263,2018-07-01T17:47:43Z,JAI384,"21.354397,73.637947",38000,469,199
1530467324,2018-07-01T17:48:44Z,JAI384,"21.229156,73.589371",38000,468,199
1530467385,2018-07-01T17:49:45Z,JAI384,"21.106064,73.545174",38000,463,197
1530467445,2018-07-01T17:50:45Z,JAI384,"20.982147,73.50354",37975,461,197
1530467510,2018-07-01T17:51:50Z,JAI384,"20.852966,73.460327",37625,462,197
1530467571,2018-07-01T17:52:51Z,JAI384,"20.726166,73.418053",35700,468,197
1530467633,2018-07-01T17:53:53Z,JAI384,"20.592802,73.373138",32375,481,197
1530467700,2018-07-01T17:55:00Z,JAI384,"20.451187,73.325157",29125,481,197
1530467764,2018-07-01T17:56:04Z,JAI384,"20.314636,73.279793",26225,471,197
1530467821,2018-07-01T17:57:01Z,JAI384,"20.199966,73.244522",24125,441,195
1530467898,2018-07-01T17:58:18Z,JAI384,"20.051743,73.198372",20250,422,193
1530467990,2018-07-01T17:59:50Z,JAI384,"19.885487,73.179329",17925,380,183
1530468025,2018-07-01T18:00:25Z,JAI384,"19.823992,73.175087",16950,371,183
1530468060,2018-07-01T18:01:00Z,JAI384,"19.766359,73.170746",16675,342,184
1530468090,2018-07-01T18:01:30Z,JAI384,"19.719864,73.166931",16450,319,184
1530468126,2018-07-01T18:02:06Z,JAI384,"19.669693,73.162766",16050,297,184
1530468161,2018-07-01T18:02:41Z,JAI384,"19.621954,73.158707",15350,292,184
1530468192,2018-07-01T18:03:12Z,JAI384,"19.580704,73.155556",14500,292,183
1530468226,2018-07-01T18:03:46Z,JAI384,"19.533365,73.152168",13500,289,184
1530468267,2018-07-01T18:04:27Z,JAI384,"19.480316,73.149521",12600,281,181
1530468302,2018-07-01T18:05:02Z,JAI384,"19.434311,73.1483",11675,277,181
1530468317,2018-07-01T18:05:17Z,JAI384,"19.414902,73.147415",11375,274,182
1530468327,2018-07-01T18:05:27Z,JAI384,"19.401762,73.146675",11125,274,182
1530468342,2018-07-01T18:05:42Z,JAI384,"19.382908,73.145874",10825,274,182
1530468357,2018-07-01T18:05:57Z,JAI384,"19.364195,73.145378",10525,272,181
1530468378,2018-07-01T18:06:18Z,JAI384,"19.339243,73.150764",10150,269,154
1530468393,2018-07-01T18:06:33Z,JAI384,"19.32486,73.162666",9875,269,138
1530468402,2018-07-01T18:06:42Z,JAI384,"19.315796,73.171394",9800,261,137
1530468418,2018-07-01T18:06:58Z,JAI384,"19.30228,73.184479",9550,251,136
1530468433,2018-07-01T18:07:13Z,JAI384,"19.289932,73.196953",9250,244,136
1530468443,2018-07-01T18:07:23Z,JAI384,"19.281891,73.205147",9100,238,135
1530468458,2018-07-01T18:07:38Z,JAI384,"19.270203,73.217056",8850,229,136
1530468478,2018-07-01T18:07:58Z,JAI384,"19.253036,73.228485",8575,215,161
1530468484,2018-07-01T18:08:04Z,JAI384,"19.24791,73.229271",8500,213,171
1530468494,2018-07-01T18:08:14Z,JAI384,"19.238113,73.229858",8325,210,177
1530468509,2018-07-01T18:08:29Z,JAI384,"19.223373,73.230568",8000,210,177
1530468524,2018-07-01T18:08:44Z,JAI384,"19.208313,73.231529",7625,209,176
1530468555,2018-07-01T18:09:15Z,JAI384,"19.180128,73.226822",6825,205,206
1530468575,2018-07-01T18:09:35Z,JAI384,"19.163223,73.217499",6375,202,207
1530468584,2018-07-01T18:09:44Z,JAI384,"19.155548,73.211792",6125,198,219
1530468590,2018-07-01T18:09:50Z,JAI384,"19.152328,73.208183",6050,198,226
1530468599,2018-07-01T18:09:59Z,JAI384,"19.146284,73.200859",5900,195,229
1530468610,2018-07-01T18:10:10Z,JAI384,"19.140335,73.193466",5700,197,230
1530468625,2018-07-01T18:10:25Z,JAI384,"19.131592,73.18248",5400,196,229
1530468635,2018-07-01T18:10:35Z,JAI384,"19.125708,73.175041",5200,196,230
1530468650,2018-07-01T18:10:50Z,JAI384,"19.117264,73.164238",4975,194,230
1530468665,2018-07-01T18:11:05Z,JAI384,"19.108482,73.152763",4725,191,231
1530468675,2018-07-01T18:11:15Z,JAI384,"19.103119,73.145798",4625,188,230
1530468691,2018-07-01T18:11:31Z,JAI384,"19.095634,73.133942",4450,188,245
1530468700,2018-07-01T18:11:40Z,JAI384,"19.093826,73.124802",4325,193,260
1530468710,2018-07-01T18:11:50Z,JAI384,"19.092819,73.115532",4200,195,263
1530468716,2018-07-01T18:11:56Z,JAI384,"19.092283,73.110565",4150,194,263
1530468726,2018-07-01T18:12:06Z,JAI384,"19.091537,73.101227",4000,191,266
1530468740,2018-07-01T18:12:20Z,JAI384,"19.09112,73.08725",3800,191,269
1530468762,2018-07-01T18:12:42Z,JAI384,"19.091309,73.068153",3550,191,270
1530468770,2018-07-01T18:12:50Z,JAI384,"19.091309,73.059082",3425,188,270
1530468791,2018-07-01T18:13:11Z,JAI384,"19.091072,73.040703",3125,184,268
1530468807,2018-07-01T18:13:27Z,JAI384,"19.090887,73.02697",2900,185,269
1530468816,2018-07-01T18:13:36Z,JAI384,"19.090759,73.017883",2725,188,269
1530468826,2018-07-01T18:13:46Z,JAI384,"19.090607,73.008743",2550,190,268
1530468837,2018-07-01T18:13:57Z,JAI384,"19.090485,72.999588",2400,189,269
1530468846,2018-07-01T18:14:06Z,JAI384,"19.090374,72.990318",2225,187,269
1530468856,2018-07-01T18:14:16Z,JAI384,"19.090256,72.980804",2050,186,269
1530468866,2018-07-01T18:14:26Z,JAI384,"19.090141,72.971741",1900,183,269
1530468876,2018-07-01T18:14:36Z,JAI384,"19.089981,72.962997",1750,181,268
1530468887,2018-07-01T18:14:47Z,JAI384,"19.089863,72.954262",1600,171,269
1530468896,2018-07-01T18:14:56Z,JAI384,"19.089769,72.946022",1450,166,269
1530468907,2018-07-01T18:15:07Z,JAI384,"19.089676,72.93808",1300,158,269
1530468913,2018-07-01T18:15:13Z,JAI384,"19.08963,72.934235",1250,156,269
1530468922,2018-07-01T18:15:22Z,JAI384,"19.089537,72.926498",1125,156,268
1530468931,2018-07-01T18:15:31Z,JAI384,"19.089397,72.919556",975,158,268
1530468942,2018-07-01T18:15:42Z,JAI384,"19.089304,72.911018",825,160,268
1530468977,2018-07-01T18:16:17Z,JAI384,"19.088932,72.883598",350,157,268
1530468998,2018-07-01T18:16:38Z,JAI384,"19.088699,72.868477",0,150,270
1530469010,2018-07-01T18:16:50Z,JAI384,"19.088631,72.861832",0,90,270
1530469020,2018-07-01T18:17:00Z,JAI384,"19.088594,72.859055",0,56,267
1530469032,2018-07-01T18:17:12Z,JAI384,"19.08885,72.856537",0,35,284
1530469053,2018-07-01T18:17:33Z,JAI384,"19.089981,72.854843",0,15,306
1530469068,2018-07-01T18:17:48Z,JAI384,"19.090256,72.855736",0,34,90
1530469074,2018-07-01T18:17:54Z,JAI384,"19.090269,72.856148",0,17,90
1530469089,2018-07-01T18:18:09Z,JAI384,"19.090294,72.857773",0,23,90
1530469095,2018-07-01T18:18:15Z,JAI384,"19.090305,72.858383",0,25,90
1530469106,2018-07-01T18:18:26Z,JAI384,"19.090328,72.859779",0,25,90
1530469124,2018-07-01T18:18:44Z,JAI384,"19.090347,72.861931",0,24,90
1530469132,2018-07-01T18:18:52Z,JAI384,"19.090363,72.86264",0,16,87
1530469168,2018-07-01T18:19:28Z,JAI384,"19.091713,72.864685",0,17,47
1530469195,2018-07-01T18:19:55Z,JAI384,"19.093098,72.866348",0,17,47
1530469205,2018-07-01T18:20:05Z,JAI384,"19.093494,72.866821",0,31,47
1530469220,2018-07-01T18:20:20Z,JAI384,"19.093924,72.867348",0,18,50
1530469579,2018-07-01T18:26:19Z,JAI384,"19.094021,72.867462",0,0,64
1530469655,2018-07-01T18:27:35Z,JAI384,"19.094284,72.867783",0,17,50
1530469665,2018-07-01T18:27:45Z,JAI384,"19.094482,72.868004",0,17,50
1530469676,2018-07-01T18:27:56Z,JAI384,"19.094639,72.86821",0,15,50
1530469691,2018-07-01T18:28:11Z,JAI384,"19.094913,72.86853",0,19,50
1530469699,2018-07-01T18:28:19Z,JAI384,"19.095108,72.868759",0,22,47
1530469711,2018-07-01T18:28:31Z,JAI384,"19.09544,72.869148",0,26,47
1530469728,2018-07-01T18:28:48Z,JAI384,"19.095657,72.869812",0,23,109
1530469751,2018-07-01T18:29:11Z,JAI384,"19.095795,72.870644",0,19,109
1530469763,2018-07-01T18:29:23Z,JAI384,"19.095863,72.870865",0,15,109
1530469784,2018-07-01T18:29:44Z,JAI384,"19.09553,72.871239",0,14,109
